timeline,latitude,longitude,id,icao_24bit,heading,altitude,ground_speed,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao,origin_airport_name,origin_airport_coordinates,destination_airport_name,destination_airport_coordinates,airline_name,aircraft_name,manufacturer
2024-05-31 09:04:36,55.1767,-12.1989,35752b19,C058C0,109,40975,516,B788,C-GHPV,1717139069,YUL,AMS,AC900,AC,0,0,ACA900,ACA,Montreal / Pierre Elliott Trudeau International Airport,"45.4706001282, -73.7407989502",Amsterdam Airport Schiphol,"52.308601, 4.76389",Air Canada,Boeing 787-8,Boeing
2024-05-31 09:04:36,43.809,89.7363,35752b37,71C209,288,32100,431,B77W,HL8209,1717139064,ICN,VIE,KE937,KE,0,0,KAL937,KAL,Incheon International Airport,"37.46910095214844, 126.45099639892578",Vienna International Airport,"48.110298, 16.5697",Korean Air,Boeing 777-300ER,Boeing
2024-05-31 09:04:36,21.2755,-158.2329,35752b64,C8809F,3,3200,224,B38M,DQ-FAH,1717139070,APW,HNL,FJ853,FJ,0,-320,FJI853,FJI,Faleolo International Airport,"-13.829999923706055, -172.00799560546875",Daniel K Inouye International Airport,"21.32062, -157.924228",Fiji Airways,Boeing 737 MAX 8,Boeing
2024-05-31 09:04:36,48.3445,-121.3771,35752b67,ACC95C,283,26000,431,B738,N923AN,1717139072,DFW,YVR,AA1434,AA,0,0,AAL1434,AAL,Dallas Fort Worth International Airport,"32.896801, -97.038002",Vancouver International Airport,"49.193901062, -123.183998108",American Airlines,Boeing 737-800,Unknown
2024-05-31 09:04:36,43.905,87.4699,35752b7a,781F16,199,0,11,A21N,B-32DF,1717139028,SHA,URC,HO1255,HO,1,0,DKH1255,DKH,Shanghai Hongqiao International Airport,"31.198104, 121.33426",Ürümqi Diwopu International Airport,"43.907100677490234, 87.47419738769531",Juneyao Airlines,Airbus A321neo,Airbus
2024-05-31 09:04:36,63.4987,-63.3772,35752b9f,406891,89,41000,525,B788,G-ZBJD,1717139068,PDX,LHR,BA266,BA,0,0,BAW26V,BAW,Portland International Airport,"45.58869934, -122.5979996",London Heathrow Airport,"51.4706, -0.461941",British Airways,Boeing 787-8,Boeing
2024-05-31 09:04:36,26.4607,104.2634,35752be9,872F5C,219,37400,508,B789,JA921A,1717139069,NRT,BOM,NH829,NH,0,512,ANA829,ANA,Narita International Airport,"35.764702, 140.386002",Chhatrapati Shivaji International Airport,"19.0886993408, 72.8678970337",All Nippon Airways,Boeing 787-9,Boeing
2024-05-31 09:04:36,50.0559,-60.7,35752bf7,4BB188,50,35000,548,B789,TC-LLH,1717139069,IAH,IST,TK34,TK,0,0,THY2AY,THY,George Bush Intercontinental Houston Airport,"29.984399795532227, -95.34140014648438",İstanbul Airport,"41.261297, 28.741951",Turkish Airlines,Boeing 787-9,Boeing
2024-05-31 09:04:36,38.3535,31.7275,35752bf8,4CAC16,211,28375,440,A21N,EI-KGG,1717139071,NQZ,AYT,KC215,KC,0,-1472,KZR215,KZR,Nursultan Nazarbayev International Airport,"51.022202, 71.466904",Antalya International Airport,"36.898701, 30.800501",Air Astana,Airbus A321neo,Airbus
2024-05-31 09:04:36,54.1244,-21.3467,35752c2a,A899A2,88,37008,466,B763,N653UA,1717139072,EWR,LHR,UA940,UA,0,0,UAL940,UAL,Newark Liberty International Airport,"40.692501, -74.168701",London Heathrow Airport,"51.4706, -0.461941",United Airlines,Boeing 767-300,Boeing
2024-05-31 09:04:36,41.468,45.4853,35752c3e,461F4E,279,40000,422,A359,OH-LWG,1717139071,DEL,HEL,AY122,AY,0,0,FIN122,FIN,Indira Gandhi International Airport,"28.55563, 77.09519",Helsinki Vantaa Airport,"60.3172, 24.963301",Finnair,Airbus A350-900,Airbus
2024-05-31 09:04:36,4.0145,103.771,35752c4a,781371,208,32000,483,B38M,B-1261,1717139069,PVG,KUL,FM885,FM,0,0,CSH885,CSH,Shanghai Pudong International Airport,"31.1434, 121.805",Kuala Lumpur International Airport,"2.74558, 101.709999",Shanghai Airlines,Boeing 737 MAX 8,Boeing
2024-05-31 09:04:36,41.153,45.8753,35752c4e,AC638D,109,33000,525,B77L,N898FD,1717139069,CDG,CAN,FX5342,FX,0,64,FDX5342,FDX,Charles de Gaulle International Airport,"49.012798, 2.55",Guangzhou Baiyun International Airport,"23.392401, 113.299004",Fedex,Boeing 777-200LR,Boeing
2024-05-31 09:04:36,23.259,61.8305,35752c5b,8964DA,275,32000,476,A320,A6-AOT,1717139069,DAC,SHJ,G9513,G9,0,0,ABY513,ABY,Hazrat Shahjalal International Airport,"23.843347, 90.397783",Sharjah International Airport,"25.32859992980957, 55.5172004699707",Air Arabia,Airbus A320,Airbus
2024-05-31 09:04:36,40.5303,106.5264,35752c6b,440002,297,34100,428,B772,OE-LPA,1717139072,NRT,VIE,OS52,OS,0,0,AUA52,AUA,Narita International Airport,"35.764702, 140.386002",Vienna International Airport,"48.110298, 16.5697",Austrian Airlines,Boeing 777-200,Boeing
2024-05-31 09:04:36,35.5379,24.1435,35752ca1,3C6422,22,0,0,A321,D-AIAB,1717139071,DUS,CHQ,DE1614,DE,1,0,CFG9VW,CFG,Düsseldorf Airport,"51.289501, 6.76678",Chania International Airport,"35.531700134277344, 24.149700164794922",Condor,Airbus A321,Airbus
2024-05-31 09:04:36,34.5932,-116.0023,35752cb3,A44588,245,33775,456,B739,N37437,1717139070,IAD,LAX,UA1738,UA,0,-896,UAL1738,UAL,Washington Dulles International Airport,"38.9445, -77.455803",Los Angeles / Tom Bradley International Airport,"33.942501, -118.407997",United Airlines,Boeing 737-900,Boeing
